Var1,Freq
k__Fungi,1637
p__Ascomycota,1003
c__Dothideomycetes,442
p__Basidiomycota,291
o__Capnodiales,250
c__Sordariomycetes,171
c__Eurotiomycetes,135
c__Agaricomycetes,123
o__Pleosporales,118
o__Chaetothyriales,84
f__Teratosphaeriaceae,82
c__Leotiomycetes,77
o__Xylariales,77
o__Helotiales,75
c__Tremellomycetes,70
f__Mycosphaerellaceae,59
f__Herpotrichiellaceae,55
c__Microbotryomycetes,44
o__Hypocreales,43
o__Tremellales,43
g__Cladophialophora,36
f__Sporocadaceae,29
o__Microbotryomycetes_ord_Incertae_sedis,29
f__Nectriaceae,28
o__Agaricales,28
o__Polyporales,26
f__Didymellaceae,25
f__Hyaloscyphaceae,24
g__Devriesia,24
c__Orbiliomycetes,22
f__Orbiliaceae,21
o__Orbiliales,21
o__Cantharellales,20
c__Lecanoromycetes,19
c__Cystobasidiomycetes,18
f__Microbotryomycetes_fam_Incertae_sedis,17
f__Coryneliaceae,16
g__Corynelia,16
g__Orbilia,16
o__Botryosphaeriales,16
o__Coryneliales,16
s__uberata,16
f__Ceratobasidiaceae,15
f__Phaeosphaeriaceae,15
g__Colacogloea,15
s__podocarpi,15
f__Xylariales_fam_Incertae_sedis,14
g__Geastrumia,14
s__polystigmatis,14
f__Glomerellaceae,13
f__Phaeomoniellaceae,13
g__Mycosphaerella,13
o__Glomerellales,13
o__Phaeomoniellales,13
c__Taphrinomycetes,12
g__Phaeosphaeria,12
o__Taphrinales,12
s__strelitziicola,12
f__Chrysozymaceae,11
f__Cucurbitariaceae,11
f__Cuniculitremaceae,11
f__Neodevriesiaceae,11
f__Taphrinaceae,11
g__Neodevriesia,11
g__Pestalotiopsis,11
g__Taphrina,11
f__Capnodiales_fam_Incertae_sedis,10
g__Hispidoconidioma,10
o__Erythrobasidiales,10
s__alpinum,10
f__Bulleribasidiaceae,9
f__Erythrobasidiaceae,9
f__Marasmiaceae,9
f__Massarinaceae,9
f__Pleosporaceae,9
f__Polyporaceae,9
g__Capnobotryella,9
g__Ceratorhiza,9
g__Colletotrichum,9
g__Neopestalotiopsis,9
g__Neophaeomoniella,9
g__Pyrenochaetopsis,9
o__Eurotiales,9
o__Filobasidiales,9
c__Pucciniomycetes,8
f__Aspergillaceae,8
f__Dermateaceae,8
f__Helotiales_fam_Incertae_sedis,8
f__Microdochiaceae,8
f__Sporidiobolaceae,8
g__Microdochium,8
g__Rhodotorula,8
g__Seiridium,8
g__Stagonospora,8
o__Auriculariales,8
o__Russulales,8
o__Sporidiobolales,8
o__Venturiales,8
s__foedans,8
f__Ganodermataceae,7
f__Lophiostomataceae,7
f__Piskurozymaceae,7
g__Coleophoma,7
g__Ilyonectria,7
g__Lophiostoma,7
g__Phaeophleospora,7
o__Diaporthales,7
s__acicola,7
s__lagerstroemiae,7
c__Umbelopsidomycetes,6
f__Cladosporiaceae,6
f__Didymosphaeriaceae,6
f__Myriangiaceae,6
f__Planistromellaceae,6
f__Umbelopsidaceae,6
f__Venturiaceae,6
g__Curvularia,6
g__Epicoccum,6
g__Erythrobasidium,6
g__Fellomyces,6
g__Phlogicylindrium,6
g__Pseudocercospora,6
g__Ramimonilia,6
g__Sympodiella,6
g__Umbelopsis,6
o__Myriangiales,6
o__Umbelopsidales,6
p__Mucoromycota,6
s__apicalis,6
s__aristata,6
s__etlingerae,6
s__niveniae,6
c__Exobasidiomycetes,5
f__Botryosphaeriaceae,5
f__Bulleraceae,5
f__Capnodiaceae,5
f__Meruliaceae,5
f__Peniophoraceae,5
f__Sclerotiniaceae,5
f__Xylariaceae,5
g__Cladosporium,5
g__Cryptococcus,5
g__Paramycosphaerella,5
g__Penicillium,5
g__Peniophora,5
g__Piskurozyma,5
o__Hymenochaetales,5
o__Lecanorales,5
o__Ostropales,5
o__Sebacinales,5
o__Trechisporales,5
o__Trichosporonales,5
s__chamaecyparidis,5
s__intermedia,5
s__leptospora,5
s__pseudocaricis,5
c__Saccharomycetes,4
f__Aureobasidiaceae,4
f__Chaetosphaeriaceae,4
f__Cryptococcaceae,4
f__Diaporthaceae,4
f__Dictyosporiaceae,4
f__Helotiaceae,4
f__Hydnodontaceae,4
f__Phyllostictaceae,4
f__Rhynchogastremataceae,4
f__Stictidaceae,4
f__Strophariaceae,4
f__Trichomeriaceae,4
f__Trichosporonaceae,4
g__Arachnopeziza,4
g__Aureobasidium,4
g__Cryptodiscus,4
g__Diaporthe,4
g__Didymella,4
g__Ganoderma,4
g__Glomerella,4
g__Myriangium,4
g__Oberwinklerozyma,4
g__Papiliotrema,4
g__Parateratosphaeria,4
g__Phyllosticta,4
g__Pseudopithomyces,4
g__Sphaeropsis,4
o__Chaetosphaeriales,4
o__Cystofilobasidiales,4
o__Dothideales,4
o__Saccharomycetales,4
s__acutata,4
s__australe,4
s__capitalensis,4
s__cucurbitae,4
s__falcata,4
s__hasegawianum,4
s__mors-panacis,4
s__mucilaginosa,4
s__pseudocryptica,4
s__tumefaciens,4
f__Bartaliniaceae,3
f__Bionectriaceae,3
f__Coniothyriaceae,3
f__Debaryomycetaceae,3
f__Hymenochaetaceae,3
f__Hyponectriaceae,3
f__Kriegeriaceae,3
f__Magnaporthaceae,3
f__Mrakiaceae,3
f__Omphalotaceae,3
f__Onygenales_fam_Incertae_sedis,3
f__Ophiocordycipitaceae,3
f__Periconiaceae,3
f__Physalacriaceae,3
f__Septobasidiaceae,3
f__Trimorphomycetaceae,3
g__Articulospora,3
g__Aspergillus,3
g__Castanediella,3
g__Coniothyrium,3
g__Earliella,3
g__Erythromyces,3
g__Genolevuria,3
g__Gregarithecium,3
g__Marasmiellus,3
g__Meyerozyma,3
g__Microcera,3
g__Microporus,3
g__Monographella,3
g__Neofabraea,3
g__Penidiella,3
g__Perenniporia,3
g__Phellinus,3
g__Proliferodiscus,3
g__Psilocybe,3
g__Septobasidium,3
g__Torrendiella,3
g__Truncatella,3
g__Vishniacozyma,3
g__Zeloasperisporium,3
o__Exobasidiales,3
o__Kriegeriales,3
o__Magnaporthales,3
o__Onygenales,3
o__Septobasidiales,3
s__affinis,3
s__amylolytica,3
s__chartarum,3
s__chinensis,3
s__crocicreas,3
s__curvisporum,3
s__delicatulum,3
s__diobovata,3
s__ellipsoidea,3
s__eucalypti,3
s__exuberans,3
s__foliicola,3
s__gilvus,3
s__guilliermondii,3
s__lupini,3
s__macadamiae,3
s__nemorosus,3
s__nigrum,3
s__oryzae,3
s__phragmitis,3
s__restionacearum,3
s__rosea,3
s__scabrosa,3
s__scillae,3
s__silvestris,3
s__sorghinum,3
s__verruculosa,3
c__Ustilaginomycetes,2
f__Beltraniaceae,2
f__Cantharellales_fam_Incertae_sedis,2
f__Cerrenaceae,2
f__Chaetothyriaceae,2
f__Chaetothyriales_fam_Incertae_sedis,2
f__Cystobasidiaceae,2
f__Exidiaceae,2
f__Exobasidiaceae,2
f__Hymenochaetales_fam_Incertae_sedis,2
f__Leptosphaeriaceae,2
f__Psathyrellaceae,2
f__Sporormiaceae,2
f__Symmetrosporaceae,2
f__Sympoventuriaceae,2
f__Teichosporaceae,2
f__Tricholomataceae,2
f__Xenasmataceae,2
g__Acrodontium,2
g__Allophoma,2
g__Beltrania,2
g__Bullera,2
g__Capnodium,2
g__Ceratobasidium,2
g__Cercospora,2
g__Cerrena,2
g__Chrysozyma,2
g__Clonostachys,2
g__Curvibasidium,2
g__Derxomyces,2
g__Dioszegia,2
g__Exobasidium,2
g__Exserohilum,2
g__Gloiocephala,2
g__Hannaella,2
g__Hirsutella,2
g__Hyphodiscus,2
g__Infundibulomyces,2
g__Itersonilia,2
g__Mycoleptodiscus,2
g__Occultifur,2
g__Paraboeremia,2
g__Paraphaeosphaeria,2
g__Periconia,2
g__Pseudohyphozyma,2
g__Pyrenochaeta,2
g__Resinicium,2
g__Retiarius,2
g__Rodwayella,2
g__Rugonectria,2
g__Scleropezicula,2
g__Setophoma,2
g__Sistotrema,2
g__Stenella,2
g__Strelitziana,2
g__Symmetrospora,2
g__Tetrapyrgos,2
g__Trichosporon,2
g__Trimmatostroma,2
g__Tubulicium,2
o__Cystobasidiales,2
o__Cystobasidiomycetes_ord_Incertae_sedis,2
o__Microstromatales,2
o__Sordariales,2
o__Ustilaginales,2
s__alni,2
s__asianum,2
s__bogoriensis,2
s__ceratosporum,2
s__chaetospira,2
s__citri,2
s__coprophila,2
s__coprosmae,2
s__cordae,2
s__crateriforme,2
s__cupulata,2
s__cygneicollum,2
s__cynaroidis,2
s__epiphylla,2
s__fushanensis,2
s__microspora,2
s__minor,2
s__musae,2
s__paczoskii,2
s__perplexans,2
s__pratorum,2
s__proliferans,2
s__pseudorhombica,2
s__pyricola,2
s__ramosa,2
s__rostratum,2
s__rugulosa,2
s__selaginellae,2
s__sessilis,2
s__sidae,2
s__tenerrimus,2
s__thompsonii,2
s__trachicarpicola,2
s__unicolor,2
s__var._yunnanensis,2
s__vermiculare,2
c__Agaricostilbomycetes,1
c__Mortierellomycetes,1
c__Pezizomycetes,1
c__Spizellomycetes,1
f__Amphisphaeriaceae,1
f__Apiosporaceae,1
f__Auriculariaceae,1
f__Auriscalpiaceae,1
f__Bambusicolaceae,1
f__Brachybasidiaceae,1
f__Cainiaceae,1
f__Cordycipitaceae,1
f__Corynesporascaceae,1
f__Cyphellophoraceae,1
f__Cystofilobasidiaceae,1
f__Dissoconiaceae,1
f__Filobasidiaceae,1
f__Hypocreales_fam_Incertae_sedis,1
f__Kondoaceae,1
f__Lecanoromycetes_fam_Incertae_sedis,1
f__Lophiotremataceae,1
f__Megalosporaceae,1
f__Meripilaceae,1
f__Microstromatales_fam_Incertae_sedis,1
f__Mortierellaceae,1
f__Niessliaceae,1
f__Ostropales_fam_Incertae_sedis,1
f__Parmeliaceae,1
f__Physciaceae,1
f__Pilocarpaceae,1
f__Pleosporales_fam_Incertae_sedis,1
f__Pterulaceae,1
f__Ramalinaceae,1
f__Saccharomycetales_fam_Incertae_sedis,1
f__Sarcosomataceae,1
f__Sebacinaceae,1
f__Squamarinaceae,1
f__Tetragoniomycetaceae,1
f__Tremellaceae,1
f__Trichocomaceae,1
f__Trichosphaeriaceae,1
f__Valsaceae,1
f__Vibrisseaceae,1
g__Acremoniopsis,1
g__Acremonium,1
g__Alternaria,1
g__Apiotrichum,1
g__Arthrinium,1
g__Ascochyta,1
g__Atrotorquata,1
g__Auricularia,1
g__Bacidina,1
g__Bannoa,1
g__Bensingtonia,1
g__Boeremia,1
g__Byssoloma,1
g__Calonectria,1
g__Calyptella,1
g__Campanella,1
g__Camptophora,1
g__Candida,1
g__Capronia,1
g__Ceriporia,1
g__Chaetocalathus,1
g__Chaetosphaeria,1
g__Cistella,1
g__Coprinellus,1
g__Coprinopsis,1
g__Corynespora,1
g__Cosmospora,1
g__Crucellisporiopsis,1
g__Cryptotrichosporon,1
g__Cutaneotrichosporon,1
g__Cyphellophora,1
g__Cystofilobasidium,1
g__Cytospora,1
g__Daldinia,1
g__Dictyosporium,1
g__Dicyma,1
g__Diplodia,1
g__Efibulobasidium,1
g__Eucasphaeria,1
g__Exidia,1
g__Exophiala,1
g__Flavodon,1
g__Fusarium,1
g__Fusicolla,1
g__Fusidium,1
g__Gibberella,1
g__Gliocephalotrichum,1
g__Gloeodontia,1
g__Heterochaete,1
g__Heterodermia,1
g__Hydropisphaera,1
g__Hypholoma,1
g__Hypoxylon,1
g__Krasilnikovozyma,1
g__Lachnella,1
g__Lareunionomyces,1
g__Lepteutypa,1
g__Lophiotrema,1
g__Megalospora,1
g__Meira,1
g__Mortierella,1
g__Mulderomyces,1
g__Mycotribulus,1
g__Naganishia,1
g__Nectria,1
g__Neocoleroa,1
g__Neophaeosphaeria,1
g__Nigrospora,1
g__Ochrocladosporium,1
g__Ophiosphaerella,1
g__Palmiascoma,1
g__Phacidiella,1
g__Phanerochaete,1
g__Phialocephala,1
g__Phlebia,1
g__Phlebiella,1
g__Phoma,1
g__Preussia,1
g__Pseudomicrostroma,1
g__Pseudopestalotiopsis,1
g__Pseudoteratosphaeria,1
g__Ramichloridium,1
g__Saccharicola,1
g__Sampaiozyma,1
g__Scopuloides,1
g__Septoria,1
g__Simplicillium,1
g__Squamarina,1
g__Talaromyces,1
g__Teratosphaeria,1
g__Tetracladium,1
g__Thelonectria,1
g__Tolypocladium,1
g__Toxicocladosporium,1
g__Trechispora,1
g__Trichomerium,1
g__Trimorphomyces,1
g__Troposporella,1
g__Volutella,1
g__Xenasmatella,1
g__Xenomycosphaerella,1
g__Xylaria,1
o__Agaricostilbales,1
o__Caliciales,1
o__Hysteriales,1
o__Lecanoromycetes_ord_Incertae_sedis,1
o__Lecideales,1
o__Mortierellales,1
o__Patellariales,1
o__Pezizales,1
