Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Geastrumia,s__polystigmatis
k__Fungi,p__Ascomycota,c__Dothideomycetes,NA,NA,NA,NA
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Proliferodiscus,NA
k__Fungi,NA,NA,NA,NA,NA,NA
k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Ostropales,f__Stictidaceae,g__Cryptodiscus,NA
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Ceratorhiza,NA
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Geastrumia,s__polystigmatis
k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,NA
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Ceratorhiza,NA
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,g__Lophiostoma,s__chamaecyparidis
k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Ostropales,f__Stictidaceae,g__Cryptodiscus,NA
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Ceratorhiza,NA
k__Fungi,NA,NA,NA,NA,NA,NA
k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Coryneliales,f__Coryneliaceae,g__Corynelia,s__uberata
k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Coleophoma,NA
k__Fungi,NA,NA,NA,NA,NA,NA
