"","input","filtered","nonchim","filter.loss"
"o100",2170,1603,1603,0.261290322580645
"o101",2034,1339,1339,0.341691248770895
"o102",1623,1031,1031,0.36475662353666
"o103",15257,11429,11407,0.250901225666907
"o105",5470,4233,4233,0.226142595978062
"o107",764,454,454,0.405759162303665
"o108",8374,6003,5969,0.283138285168378
"o119",2810,1078,1078,0.616370106761566
"o120",153357,118153,118153,0.229555872897879
"o122",9327,6082,6082,0.347914656373968
"o127",583,317,317,0.456260720411664
"o128",4216,2360,2360,0.44022770398482
"o131",2711,2314,2314,0.146440427886389
"o134",1024,562,562,0.451171875
"o137",833,597,597,0.283313325330132
"o138",813,648,648,0.202952029520295
"o139",1703,1354,1354,0.204932472108045
"o141",6636,5019,5019,0.243670886075949
"o142",73377,62308,62308,0.150851084127179
"o143",4714,3784,3784,0.197284683920238
"o145",6968,4942,4942,0.290757749712974
"o146",979,714,714,0.270684371807967
"o148",2657,2079,2079,0.217538577342868
"o151",1793,1311,1311,0.268823201338539
"o155",5145,4431,4431,0.138775510204082
"o156",17061,12793,12793,0.250161186331399
"o175",8981,6506,6506,0.275581783765728
"o176",1002,849,849,0.152694610778443
"o177",3524,2744,2744,0.221339387060159
"o178",1278,832,832,0.348982785602504
"o179",12226,10277,10277,0.159414362833306
"o180",12616,10707,10707,0.151315789473684
"o182",17508,11977,11977,0.315912725611149
"o183",14218,8791,8791,0.38169925446617
"o184",10559,6898,6898,0.346718439246141
"o186",9710,7242,7242,0.254170957775489
"o187",11245,9617,9617,0.144775455758115
"o189",3908,3256,3256,0.166837256908905
"o190",180,94,94,0.477777777777778
"o191",969,721,721,0.25593395252838
"o192",4268,2759,2759,0.353561387066542
"o193",3382,2580,2580,0.237137788290952
"o194",33880,29590,29590,0.126623376623377
"o195",5192,3861,3861,0.25635593220339
"o212",2349,1641,1641,0.301404853128991
"o213",239,9,9,0.96234309623431
"o216",32394,20563,20563,0.365221954682966
"o219",1479,1253,1253,0.152805949966193
"o220",4057,3402,3402,0.161449346807986
"o225",3588,2633,2633,0.266164994425864
"o226",1151,743,743,0.354474370112945
"o227",51056,35682,35444,0.301120338451896
"o228",1480,1034,1034,0.301351351351351
"o232",7732,5386,5386,0.303414381789964
"o233",2460,1626,1626,0.339024390243902
"o235",4691,3416,3416,0.271797058196547
"o295",17286,14601,14601,0.155328011107254
"o296",107554,82233,82233,0.235425925581568
"o299",20373,15003,14935,0.263584155499926
"o300",10415,7876,7876,0.243783005280845
"o301",20861,16335,16335,0.216959877282968
"o302",7543,6435,6435,0.146891157364444
"o303",5080,4025,4025,0.207677165354331
"o304",1595,1168,1168,0.267711598746082
"o311",1753,1308,1308,0.253850541928123
"o312",21002,17874,17874,0.148938196362251
"o314",17115,12042,12042,0.296406660823839
"o315",2348,1714,1714,0.270017035775128
"o318",3441,2567,2567,0.253995931415286
"o320",45,30,30,0.333333333333333
"o322",11614,8325,8325,0.283192698467367
"o325",6851,5133,5133,0.250766311487374
"o326",1893,1288,1288,0.31959852086635
"o329",959,667,667,0.304483837330553
"o333",40629,29335,29335,0.277978783627458
"o334",475,292,292,0.385263157894737
"o335",1549,1116,1116,0.279535183989671
"o337",231,114,114,0.506493506493506
"o33",8496,6915,6915,0.186087570621469
"o35",608,409,409,0.327302631578947
"o36",424,275,275,0.351415094339623
"o37",4074,3175,3175,0.2206676485027
"o386",13936,11612,11612,0.166762342135476
"o387",64355,48621,48621,0.244487607800482
"o38",3178,2536,2536,0.202013845185651
"o393",702,501,501,0.286324786324786
"o394",3730,3074,3074,0.175871313672922
"o395",2418,1820,1820,0.247311827956989
"o404",1726,1368,1368,0.207415990730012
"o405",2527,1949,1949,0.228729719034428
"o407",1240,883,883,0.287903225806452
"o408",1543,1228,1228,0.204147764095917
"o40",5065,3780,3780,0.253701875616979
"o411",4725,3514,3514,0.256296296296296
"o505",894,619,619,0.307606263982103
"o506",609,371,371,0.390804597701149
"o507",5086,4163,4163,0.18147856861974
"o508",2882,2122,2122,0.263705759888966
"o51",2985,2207,2207,0.260636515912898
"o52",1181,891,891,0.245554614733277
"o53",1605,1227,1227,0.235514018691589
"o61",811,567,567,0.300863131935882
"o62",2507,1999,1999,0.202632628639809
"o69",764,511,511,0.331151832460733
"o72",1282,951,951,0.258190327613105
"o76",5557,4031,4031,0.274608601763541
"o77",2153,1559,1559,0.275894101254064
"o78",55801,43425,43425,0.221788139997491
"o79",1638,1208,1208,0.262515262515263
"o87",13900,10812,10812,0.222158273381295
"o88",41375,32378,32378,0.217450151057402
"o89",2291,1614,1614,0.295504146660847
"o90",15257,11272,11272,0.261191584190863
"o98",4475,3319,3319,0.258324022346369
"o99",952,701,701,0.263655462184874
