IDENT,Island,Data type,ID,LAT,LONG,Y_PROJ,X_PROJ,Date-Time,DISPLAY,SYMBOL,UNUSED1,DIST,PROX_INDEX,COLOR,ALTITUDE,DEPTH,Taxon,Abaxial_Surface,Collection_Site,Elevation
o100,O,DNA,R,21.32799134,-157.75303708,2358959.54003735,629319.20510141,05-DEC-10 12:37:59PM,0,8284,0,0,0,31,784,0,M. rugosa,Pubescent,Kuliouou,High
o101,O,DNA,R,21.3279045,-157.75282745,2358950.09930549,629341.02367964,05-DEC-10 12:46:03PM,0,8284,0,0,0,31,784,0,M. rugosa,Pubescent,Kuliouou,High
o102,O,DNA,R,21.3279045,-157.75282745,2358950.09930549,629341.02367964,05-DEC-10 12:46:03PM,0,8284,0,0,0,31,784,0,M. rugosa,Pubescent,Kuliouou,High
o103,O,DNA,R,21.32789511,-157.75247893,2358949.34613341,629377.17982823,05-DEC-10 1:10:25PM,0,8284,0,0,0,31,778,0,M. rugosa,Pubescent,Kuliouou,High
o105,O,DNA,R,21.32790098,-157.75212413,2358950.28742979,629413.97395306,05-DEC-10 1:28:00PM,0,8284,0,0,0,31,773,0,M. rugosa,Pubescent,Kuliouou,High
o107 ,O,DNA,R,21.3275533,-157.75099978,2358912.72479627,629530.89490003,05-DEC-10 1:46:33PM,0,8284,0,0,0,31,812,0,#N/A,#N/A,#N/A,#N/A
o108,O,DNA,R,21.32752597,-157.7506837,2358909.95945644,629563.70228376,05-DEC-10 1:59:41PM,0,8284,0,0,0,31,815,0,M. rugosa,Pubescent,Kuliouou,High
o119,O,DNA,F,21.3476241,-157.79841335,2361096.21051573,624596.30017667,04-FEB-11 4:20:25PM,0,8284,0,0,0,31,683,0,M.p. var. fakerug,Pubescent,Konahuanui,High
o120,O,DNA,F,21.34767481,-157.79823365,2361101.96617582,624614.89276717,04-FEB-11 4:24:48PM,0,8284,0,0,0,31,678,0,M.p. var. fakerug,Pubescent,Konahuanui,High
o122,O,DNA,F,21.34773524,-157.79816953,2361108.70627429,624621.49112507,04-FEB-11 4:27:17PM,0,8284,0,0,0,31,677,0,M.p. var. fakerug,Pubescent,Konahuanui,High
o127,O,DNA,F,21.34863613,-157.79683345,2361209.48936163,624759.2843057,04-FEB-11 4:47:30PM,0,8284,0,0,0,31,652,0,M.p. var. fakerug,Pubescent,Konahuanui,High
o128,O,DNA,F,21.34914349,-157.79620523,2361266.15001533,624824.00265001,04-FEB-11 4:54:24PM,0,8284,0,0,0,31,656,0,M.p. var. fakerug,Pubescent,Konahuanui,High
o131,O,DNA,F,21.34807345,-157.79772973,2361146.49292073,624666.8137198,04-FEB-11 5:09:34PM,0,8284,0,0,0,31,651,0,M.p. var. fakerug,Pubescent,Konahuanui,High
o134,O,DNA,F,21.34794337,-157.79841838,2361131.54822406,624595.5086992,04-FEB-11 5:16:57PM,0,8284,0,0,0,31,657,0,M.p. var. fakerug,Pubescent,Konahuanui,High
o137,O,DNA,T,21.34785217,-157.79863338,2361121.28258486,624573.28963962,04-FEB-11 5:21:34PM,0,8284,0,0,0,31,658,0,M. tremuloides ,Glabrous,Konahuanui,Low
o138,O,DNA,F,21.34783013,-157.79864495,2361118.83370067,624572.10842104,04-FEB-11 5:23:39PM,0,8284,0,0,0,31,658,0,M.p. var. fakerug,Pubescent,Konahuanui,High
o139,O,DNA,T,21.34752335,-157.79875022,2361084.79126149,624561.45082698,04-FEB-11 5:28:09PM,0,8284,0,0,0,31,659,0,M. tremuloides ,Glabrous,Konahuanui,Low
o141,O,DNA,F,21.34750935,-157.7988892,2361083.13151785,624547.04998234,04-FEB-11 5:34:18PM,0,8284,0,0,0,31,662,0,M.p. var. fakerug,Pubescent,Konahuanui,High
o142,O,DNA,F,21.34739913,-157.79917988,2361070.70063758,624516.99862943,04-FEB-11 5:35:59PM,0,8284,0,0,0,31,657,0,M.p. var. fakerug,Pubescent,Konahuanui,High
o143,O,DNA,T,21.34708422,-157.79936344,2361035.69634756,624498.22880312,04-FEB-11 5:38:28PM,0,8284,0,0,0,31,660,0,M. tremuloides ,Glabrous,Konahuanui,Low
o145,O,DNA,T,21.34703611,-157.79967181,2361030.12685434,624466.29037281,04-FEB-11 5:45:52PM,0,8284,0,0,0,31,652,0,M. tremuloides ,Glabrous,Konahuanui,Low
o146,O,DNA,T,21.34696688,-157.7998568,2361022.31711096,624447.16469837,04-FEB-11 5:47:28PM,0,8284,0,0,0,31,652,0,M. tremuloides ,Glabrous,Konahuanui,Low
o148,O,DNA,T,21.34686956,-157.80024522,2361011.23711806,624406.96628455,04-FEB-11 5:54:58PM,0,8284,0,0,0,31,650,0,M. tremuloides ,Glabrous,Konahuanui,Low
o151,O,DNA,T,21.34689278,-157.80043582,2361013.65678697,624387.18078016,04-FEB-11 5:58:41PM,0,8284,0,0,0,31,650,0,M. tremuloides ,Glabrous,Konahuanui,Low
o155,O,DNA,T,21.34649263,-157.80090739,2360968.98940826,624338.61476408,04-FEB-11 6:08:39PM,0,8284,0,0,0,31,645,0,M. tremuloides ,Glabrous,Konahuanui,Low
o156,O,DNA,T,21.34656698,-157.80134216,2360976.87612899,624293.46474508,04-FEB-11 6:12:23PM,0,8284,0,0,0,31,636,0,M. tremuloides ,Glabrous,Konahuanui,Low
